"id","lie","self","sex","age","pr_speed","wrkn_mem","mrt"
15,"no","yes","F",20,22,21,1496.88785046729
15,"yes","no","F",20,22,21,1712.96078431373
15,"yes","yes","F",20,22,21,1559.64761904762
16,"no","no","F",19,19,17,1392.36697247706
16,"no","yes","F",19,19,17,1174.36697247706
16,"yes","no","F",19,19,17,1567.54285714286
16,"yes","yes","F",19,19,17,1326.53846153846
17,"no","no","F",23,21,15,2034.91262135922
17,"no","yes","F",23,21,15,1622.1320754717
17,"yes","no","F",23,21,15,2332.51923076923
17,"yes","yes","F",23,21,15,1914.7037037037
18,"no","no","F",19,20,15,1562.14814814815
18,"no","yes","F",19,20,15,1186.5
18,"yes","no","F",19,20,15,1773.74757281553
18,"yes","yes","F",19,20,15,1452.08333333333
19,"no","no","F",19,24,20,1391.62857142857
19,"no","yes","F",19,24,20,1189.76237623762
19,"yes","no","F",19,24,20,1492.0206185567
19,"yes","yes","F",19,24,20,1328.1862745098
20,"no","no","F",21,21,11,1329.64423076923
20,"no","yes","F",21,21,11,1160.91743119266
20,"yes","no","F",21,21,11,1804.93548387097
20,"yes","yes","F",21,21,11,1525.03773584906
21,"no","no","F",19,24,15,1091.34905660377
21,"no","yes","F",19,24,15,927.564814814815
21,"yes","no","F",19,24,15,1163.40186915888
21,"yes","yes","F",19,24,15,996.794392523365
22,"no","no","F",19,14,13,1700.55238095238
22,"no","yes","F",19,14,13,1437.77227722772
22,"yes","no","F",19,14,13,2058.3152173913
22,"yes","yes","F",19,14,13,1615.89795918367
23,"no","no","F",19,25,17,1167.81553398058
23,"no","yes","F",19,25,17,1051.32038834951
23,"yes","no","F",19,25,17,1568.66666666667
23,"yes","yes","F",19,25,17,1350.86021505376
24,"no","no","F",19,20,22,1567.24
24,"no","yes","F",19,20,22,1302.23404255319
24,"yes","no","F",19,20,22,1786.74712643678
24,"yes","yes","F",19,20,22,1543.2
25,"no","no","F",19,28,19,1798.23762376238
25,"no","yes","F",19,28,19,1289.72380952381
25,"yes","no","F",19,28,19,2140.62244897959
25,"yes","yes","F",19,28,19,1628.64356435644
26,"no","no","M",19,24,20,1326.17592592593
26,"no","yes","M",19,24,20,1124.3119266055
26,"yes","no","M",19,24,20,1368.05504587156
26,"yes","yes","M",19,24,20,1229.10185185185
27,"no","no","F",19,32,23,1422.77570093458
27,"no","yes","F",19,32,23,1194.82568807339
27,"yes","no","F",19,32,23,1582.56880733945
27,"yes","yes","F",19,32,23,1310.8380952381
28,"no","no","F",24,20,27,1627.00952380952
28,"no","yes","F",24,20,27,1321.47663551402
28,"yes","no","F",24,20,27,1587.86021505376
28,"yes","yes","F",24,20,27,1486.35294117647
29,"no","no","F",19,22,18,1733.21495327103
29,"no","yes","F",19,22,18,1487.14814814815
29,"yes","no","F",19,22,18,2186.7641509434
29,"yes","yes","F",19,22,18,1859.49074074074
30,"no","no","M",20,23,19,800.114285714286
30,"no","yes","M",20,23,19,790.071428571429
30,"yes","no","M",20,23,19,1029.77173913043
30,"yes","yes","M",20,23,19,1015.52475247525
31,"no","no","M",21,24,15,1205.98148148148
31,"no","yes","M",21,24,15,1013.47222222222
31,"yes","no","M",21,24,15,1563.70093457944
31,"yes","yes","M",21,24,15,1245.56074766355
32,"no","no","F",19,31,18,1578.60377358491
32,"no","yes","F",19,31,18,1298.66666666667
32,"yes","no","F",19,31,18,1797.29032258065
32,"yes","yes","F",19,31,18,1542.55208333333
33,"no","no","F",19,29,20,1044.47619047619
33,"no","yes","F",19,29,20,882.462264150943
33,"yes","no","F",19,29,20,1294.29807692308
33,"yes","yes","F",19,29,20,1066.29411764706
34,"no","no","F",19,24,17,1360.31868131868
34,"no","yes","F",19,24,17,1195.55555555556
34,"yes","no","F",19,24,17,1619.28409090909
34,"yes","yes","F",19,24,17,1383.39325842697
35,"no","no","F",19,27,15,1308.26168224299
35,"no","yes","F",19,27,15,1197.59433962264
35,"yes","no","F",19,27,15,1313.97058823529
